date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:42	1205/1205	---MCZ	200	added ('OK')	text/plain	date:Thu,%2025%20Jun%202026%2016:05:42%20GMT	https://makermur.com/robots.txt		(from )
18:05:42	368806/368806	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jun%202026%2016:05:43%20GMT	https://makermur.com/	C:/My%20Web%20Sites/MakerMurBackup/makermur.com/index.html	(from )
18:05:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jun%202026%2016:05:43%20GMT	http://makermur.com/cdn/shop/files/Copilot_20260311_042442.png?v=1774876158	C:/My%20Web%20Sites/MakerMurBackup/makermur.com/cdn/shop/files/Copilot_20260311_042442.0699e.delayed	(from https://makermur.com/)
18:05:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jun%202026%2016:05:45%20GMT	http://makermur.com/cdn/shop/t/2/assets/overflow-list.css?v=13500019909476584571774863590	C:/My%20Web%20Sites/MakerMurBackup/makermur.com/cdn/shop/t/2/assets/overflow-list1f02.css	(from https://makermur.com/)
18:05:44	292985/292985	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Jun%202026%2016:05:45%20GMT	https://makermur.com/cdn/shop/files/Copilot_20260311_042442.png?v=1774876158	C:/My%20Web%20Sites/MakerMurBackup/makermur.com/cdn/shop/files/Copilot_20260311_042442699e.png	(from https://makermur.com/)
18:05:44	1096/1096	---MCZ	200	added ('OK')	text/css	date:Sun,%2021%20Jun%202026%2010:22:47%20GMT	https://makermur.com/cdn/shop/t/2/assets/overflow-list.css?v=13500019909476584571774863590	C:/My%20Web%20Sites/MakerMurBackup/makermur.com/cdn/shop/t/2/assets/overflow-list1f02.css	(from https://makermur.com/)
18:05:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jun%202026%2016:05:45%20GMT	http://makermur.com/cdn/shop/t/2/assets/base.css?v=90880606428406708001774886107	C:/My%20Web%20Sites/MakerMurBackup/makermur.com/cdn/shop/t/2/assets/base4bea.css	(from https://makermur.com/)
18:05:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jun%202026%2016:05:47%20GMT	http://makermur.com/cdn/fonts/arimo/arimo_n4.a7efb558ca22d2002248bbe6f302a98edee38e35.woff2	C:/My%20Web%20Sites/MakerMurBackup/makermur.com/cdn/fonts/arimo/arimo_n4.a7efb558ca22d2002248bbe6f302a98edee38e35.woff2	(from https://makermur.com/)
18:05:46	103132/103132	---MCZ	200	added ('OK')	text/css	date:Thu,%2025%20Jun%202026%2016:02:44%20GMT	https://makermur.com/cdn/shop/t/2/assets/base.css?v=90880606428406708001774886107	C:/My%20Web%20Sites/MakerMurBackup/makermur.com/cdn/shop/t/2/assets/base4bea.css	(from https://makermur.com/)
18:05:46	18432/18432	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Jun%202026%2016:19:59%20GMT	https://makermur.com/cdn/fonts/arimo/arimo_n4.a7efb558ca22d2002248bbe6f302a98edee38e35.woff2	C:/My%20Web%20Sites/MakerMurBackup/makermur.com/cdn/fonts/arimo/arimo_n4.a7efb558ca22d2002248bbe6f302a98edee38e35.woff2	(from https://makermur.com/)
